Thu 27 Apr 18:01:41 BST 2017
PING 186.1.192.114 (186.1.192.114) 56(84) bytes of data.
64 bytes from 186.1.192.114: icmp_seq=28 ttl=238 time=141 ms
64 bytes from 186.1.192.114: icmp_seq=29 ttl=238 time=139 ms
64 bytes from 186.1.192.114: icmp_seq=30 ttl=238 time=142 ms
64 bytes from 186.1.192.114: icmp_seq=31 ttl=238 time=143 ms
64 bytes from 186.1.192.114: icmp_seq=32 ttl=238 time=141 ms
64 bytes from 186.1.192.114: icmp_seq=33 ttl=238 time=141 ms
64 bytes from 186.1.192.114: icmp_seq=34 ttl=238 time=139 ms
64 bytes from 186.1.192.114: icmp_seq=35 ttl=238 time=142 ms
64 bytes from 186.1.192.114: icmp_seq=36 ttl=238 time=142 ms
64 bytes from 186.1.192.114: icmp_seq=37 ttl=238 time=141 ms
64 bytes from 186.1.192.114: icmp_seq=38 ttl=238 time=141 ms
64 bytes from 186.1.192.114: icmp_seq=39 ttl=238 time=139 ms
64 bytes from 186.1.192.114: icmp_seq=40 ttl=238 time=142 ms
64 bytes from 186.1.192.114: icmp_seq=41 ttl=238 time=142 ms
64 bytes from 186.1.192.114: icmp_seq=42 ttl=238 time=142 ms
64 bytes from 186.1.192.114: icmp_seq=43 ttl=238 time=141 ms
64 bytes from 186.1.192.114: icmp_seq=44 ttl=238 time=139 ms
64 bytes from 186.1.192.114: icmp_seq=45 ttl=238 time=143 ms
64 bytes from 186.1.192.114: icmp_seq=46 ttl=238 time=142 ms
64 bytes from 186.1.192.114: icmp_seq=47 ttl=238 time=144 ms
64 bytes from 186.1.192.114: icmp_seq=48 ttl=238 time=141 ms
64 bytes from 186.1.192.114: icmp_seq=49 ttl=238 time=139 ms
64 bytes from 186.1.192.114: icmp_seq=50 ttl=238 time=142 ms
64 bytes from 186.1.192.114: icmp_seq=51 ttl=238 time=142 ms
64 bytes from 186.1.192.114: icmp_seq=52 ttl=238 time=142 ms
64 bytes from 186.1.192.114: icmp_seq=53 ttl=238 time=143 ms
64 bytes from 186.1.192.114: icmp_seq=54 ttl=238 time=139 ms
64 bytes from 186.1.192.114: icmp_seq=55 ttl=238 time=146 ms
64 bytes from 186.1.192.114: icmp_seq=56 ttl=238 time=142 ms
64 bytes from 186.1.192.114: icmp_seq=57 ttl=238 time=143 ms
64 bytes from 186.1.192.114: icmp_seq=58 ttl=238 time=141 ms
64 bytes from 186.1.192.114: icmp_seq=59 ttl=238 time=140 ms
64 bytes from 186.1.192.114: icmp_seq=60 ttl=238 time=143 ms
64 bytes from 186.1.192.114: icmp_seq=61 ttl=238 time=142 ms
64 bytes from 186.1.192.114: icmp_seq=62 ttl=238 time=141 ms
64 bytes from 186.1.192.114: icmp_seq=63 ttl=238 time=141 ms
64 bytes from 186.1.192.114: icmp_seq=64 ttl=238 time=139 ms
64 bytes from 186.1.192.114: icmp_seq=65 ttl=238 time=142 ms
